,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
45,커피나인-이태원점,2022년 3월 13일,5,5,5,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게 잘 마셨습니당~~^^
46,커피나인-이태원점,2022년 3월 13일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),유자유자버스트/1
          ","동생 집 올때마다 시켜먹는데 항상 맛있어요!
양도 맛도 모든게 최고!"
47,커피나인-이태원점,2022년 3월 13일,1,3,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",배달도 빠르고 좋은데 몇번째 시키는데 왜 자꾸 산미있는걸 주는지 이럴거면 그냥 산미선택자체를 빼주세요
48,커피나인-이태원점,2022년 3월 13일,5,5,5,"
            블랙모카라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",아이스파인데 오늘 비와서 핫으로 시켜봐써여 핫도 굿~~
49,커피나인-이태원점,2022년 3월 12일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치 캔/1(메뉴 선택(디카페인))
          ",디카페인 있어서 좋습니다
50,커피나인-이태원점,2022년 3월 11일,5,5,3,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),샷추가/6,나인슈페너/1(HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",이 집은 쿠키까지 맛잇네요
51,커피나인-이태원점,2022년 3월 11일,5,5,5,"
            바닐라 라떼/2(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",배달도 빠르고 아바라도 맛있었어요!!^^
52,커피나인-이태원점,2022년 3월 11일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",이게 커피지 ㄹㅇㅋㅋ
53,커피나인-이태원점,2022년 3월 10일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",격리하고 있는 친구 배달해줬습니다~ 엄청 고소하고 맛있다네요^^ 자주 이용하겠습니다🤩
54,커피나인-이태원점,2022년 3월 10일,5,5,5,"
            라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치라떼 케냐/1(추가 선택(진하게))
          ",가격 맛 배달 모두 만족해요~♡
